Id,community,label
INVASION DE AREAS DE ESPECIAL IMPORTANCIA ECOLOGICA,4,INVASION DE AREAS DE ESPECIAL IMPORTANCIA ECOLOGICA
INVASION DE TIERRAS O EDIFICACIONES,3,INVASION DE TIERRAS O EDIFICACIONES
IRRESPETO A CADAVERES,0,IRRESPETO A CADAVERES
LAVADO DE ACTIVOS,1,LAVADO DE ACTIVOS
LESIONES CULPOSAS,3,LESIONES CULPOSAS
HOMICIDIO CULPOSO,3,HOMICIDIO CULPOSO
INJURIA,3,INJURIA
LESIONES EN PERSONA PROTEGIDA,2,LESIONES EN PERSONA PROTEGIDA
LESIONES PERSONALES,7,LESIONES PERSONALES
LESIONES PERSONALES CAUSANDO INCAPACIDAD PARA TRABAJAR O ENFERMEDAD.,7,LESIONES PERSONALES CAUSANDO INCAPACIDAD PARA TRABAJAR O ENFERMEDAD.
LESIONES PERSONALES CAUSANDO PERDIDA ANATOMICA O FUNCIONAL DE UN ORGANO O MIEMBRO.,5,LESIONES PERSONALES CAUSANDO PERDIDA ANATOMICA O FUNCIONAL DE UN ORGANO O MIEMBRO.
CONSERVACION O FINANCIACION DE PLANTACIONES,5,CONSERVACION O FINANCIACION DE PLANTACIONES
LESIONES PERSONALES CAUSANDO PERTURBACION FUNCIONAL,9,LESIONES PERSONALES CAUSANDO PERTURBACION FUNCIONAL
LESIONES PERSONALES CAUSANDO DEFORMIDAD,9,LESIONES PERSONALES CAUSANDO DEFORMIDAD
LESIONES PERSONALES CAUSANDO PERTURBACION PSIQUICA,0,LESIONES PERSONALES CAUSANDO PERTURBACION PSIQUICA
MALTRATO MEDIANTE RESTRICCION A LA LIBERTAD FISICA,7,MALTRATO MEDIANTE RESTRICCION A LA LIBERTAD FISICA
EJERCICIO ARBITRARIO DE LA CUSTODIA DE HIJO MENOR DE EDAD,7,EJERCICIO ARBITRARIO DE LA CUSTODIA DE HIJO MENOR DE EDAD
MANIPULACION FRAUDULENTA DE ESPECIES INSCRITAS EN EL REGISTRO NACIONAL DE VALORES E INTERMEDIARIOS,3,MANIPULACION FRAUDULENTA DE ESPECIES INSCRITAS EN EL REGISTRO NACIONAL DE VALORES E INTERMEDIARIOS
MANIPULACIÓN DE EQUIPOS TERMINALES MÓVILES,1,MANIPULACIÓN DE EQUIPOS TERMINALES MÓVILES
OBSTACULIZACION ILEGITIMA DE SISTEMA INFORMATICO O RED DE TELECOMUNICACION,3,OBSTACULIZACION ILEGITIMA DE SISTEMA INFORMATICO O RED DE TELECOMUNICACION
OBTENCION DE DOCUMENTO PUBLICO FALSO,1,OBTENCION DE DOCUMENTO PUBLICO FALSO
OCULTAMIENTO  RETENCION Y POSESION ILICITA DE CEDULA,3,OCULTAMIENTO  RETENCION Y POSESION ILICITA DE CEDULA
"OCULTAMIENTO, ALTERACIÓN O DESTRUCCIÓN DE ELEMENTO MATERIAL PROBATORIO",1,"OCULTAMIENTO, ALTERACIÓN O DESTRUCCIÓN DE ELEMENTO MATERIAL PROBATORIO"
OMISION DEL AGENTE RETENEDOR O RECAUDADOR,1,OMISION DEL AGENTE RETENEDOR O RECAUDADOR
PECULADO CULPOSO,1,PECULADO CULPOSO
PECULADO POR APLICACION OFICIAL DIFERENTE,1,PECULADO POR APLICACION OFICIAL DIFERENTE
PECULADO POR APROPIACION,1,PECULADO POR APROPIACION
PECULADO POR EXTENSION,1,PECULADO POR EXTENSION
PECULADO POR USO,1,PECULADO POR USO
PECULADO SOBRE BIENES DE DOTACION,10,PECULADO SOBRE BIENES DE DOTACION
DESOBEDIENCIA,10,DESOBEDIENCIA
PERTURBACION EN SERVICIO DE TRANSPORTE COLECTIVO U OFICIAL,7,PERTURBACION EN SERVICIO DE TRANSPORTE COLECTIVO U OFICIAL
ASONADA,7,ASONADA
PORNOGRAFIA CON MENORES,0,PORNOGRAFIA CON MENORES
PREVARICATO POR ACCION,1,PREVARICATO POR ACCION
CELEBRACION INDEBIDA DE CONTRATOS DE SEGUROS,1,CELEBRACION INDEBIDA DE CONTRATOS DE SEGUROS
PREVARICATO POR OMISION,1,PREVARICATO POR OMISION
PROLONGACION ILICITA DE PRIVACION DE LA LIBERTAD,1,PROLONGACION ILICITA DE PRIVACION DE LA LIBERTAD
PROPAGACION DEL VIRUS DE INMUNODEFICIENCIA HUMANA O DE LA HEPATITIS B,0,PROPAGACION DEL VIRUS DE INMUNODEFICIENCIA HUMANA O DE LA HEPATITIS B
PROXENITISMO CON MENOR DE EDAD,0,PROXENITISMO CON MENOR DE EDAD
REBELION,2,REBELION
DESPOJO EN EL CAMPO DE BATALLA,2,DESPOJO EN EL CAMPO DE BATALLA
"EMPLEO, PRODUCCION, COMERCIALIZACION Y ALMACENAMIENTO DE MINAS ANTIPERSONAL",2,"EMPLEO, PRODUCCION, COMERCIALIZACION Y ALMACENAMIENTO DE MINAS ANTIPERSONAL"
EXACCION O CONTRIBUCIONES ARBITRARIAS,2,EXACCION O CONTRIBUCIONES ARBITRARIAS
RECEPTACION,3,RECEPTACION
RECEPTACION DE HIDROCARBUROS,4,RECEPTACION DE HIDROCARBUROS
RECLUTAMIENTO ILICITO,2,RECLUTAMIENTO ILICITO
